gene_id,cell_id,k_pred
76,6,0.01429664521601428
77,6,0.01518909087175002
79,6,0.010898096614564654
80,6,0.017647202089688025
81,6,0.021254342977339108
82,6,0.014828660922014805
83,6,0.016870103385336475
84,6,0.013123604285543475
85,6,0.025255311853193782
86,6,0.02106427010708428
88,6,0.018163349205569192
90,6,0.0188411645777437
91,6,0.020268754470470766
92,6,0.01274156660727468
94,6,0.02070121401466861
95,6,0.016186604605395387
96,6,0.019334149447266146
97,6,0.015854652429015844
99,6,0.02065582620871436
0,7,0.045002463678405026
1,7,0.04664745036564888
2,7,0.07314234748395752
3,7,0.04355092083516027
4,7,0.04073243290570127
5,7,0.04123267129188361
7,7,0.04789916966380436
8,7,0.02321707071392822
9,7,0.04780485926342622
10,7,0.05727933260100219
11,7,0.06861378889714119
12,7,0.014945947870652745
13,7,0.029651181774996132
14,7,0.035181896822808346
15,7,0.03724218302415617
16,7,0.044644512318286186
17,7,0.0305072842025231
19,7,0.029466418697483256
21,7,0.01818891883924348
22,7,0.028285878970881157
23,7,0.019799982385011062
24,7,0.0445903597824271
25,7,0.026885514944561754
26,7,0.025728366993787374
27,7,0.050463761535258916
28,7,0.041629319210486446
29,7,0.04631383637197854
30,7,0.076525201123258
31,7,0.031990238195619594
32,7,0.029692736115879043
34,7,0.044696802539687434
35,7,0.0451566891124589
36,7,0.04833739463335575
38,7,0.06968996215628473
40,7,0.04997477132364665
43,7,0.05050378224412015
44,7,0.0344377593401533
45,7,0.02025145974036053
46,7,0.04927458274265592
47,7,0.024192189840799266
48,7,0.042685511363384165
49,7,0.06956237016246837
52,7,0.014233332273565635
53,7,0.013207792609286626
54,7,0.014802238098926961
55,7,0.01618113781895926
56,7,0.015277940054165714
57,7,0.010869314009231273
58,7,0.013396685130944615
59,7,0.024304668619123365
63,7,0.012946179124071611
64,7,0.015577523586144084
65,7,0.016904013059960817
67,7,0.011407594546216362
69,7,0.02120908230060716
70,7,0.03756705603074754
71,7,0.01501356273783123
72,7,0.01656845650587737
73,7,0.023370252023921786
74,7,0.02204521043881553
75,7,0.03260049707591389
76,7,0.014435872780297733
77,7,0.018095603293176485
78,7,0.016687478122829724
79,7,0.02080828753778741
80,7,0.01627009120558637
83,7,0.016984973376079862
84,7,0.013278214728728532
85,7,0.026490889348347525
86,7,0.02139641625275123
89,7,0.022236270303189087
90,7,0.021117028935728605
91,7,0.018512251315552897
92,7,0.011598184243056777
93,7,0.014548980590082469
